keilmuan,abstrak
5,Information System of PPA Scholarship Registration at Department of Computer Science Faculty of Mathematic and Natural Science Universitas Lampung by applying Sorting Algorithm Quick Sort and Selection Sort is a system that is used to ease the processing of shcolarship data. A student who participates the selection of PPA scholarship registration at Department of Computer Science has to enter the registration data on this system so that the Secretary of Department doesn't need to enter the applicant's scholarship registration data anymore. This system can also rank automatically by using two sorting methods Quick Sort and Selection Sort. This system is built by using PHP as the programming languange and MySQL. Based on running time sort and complexity of its algorithm it's proved that Quick Sort Method is faster that Selection Sort Method. The result of functional testing data shows that the system can function in accordance with the requirement analysis. Based on non-fuctional testing data it shows that at admin level of this system is include in category of Good with the average value of 4.20 and user (student) level of this system is include in category of Good with the average value of 3.97.
5,This research is developed a Household Information System based on website. Household information system created for Division of Customer's Data and Information System in PT. Pelabuhan Indonesia II (Persero) Tanjung Priok. This division handles issues related to the application network and multimedia. This information system is created to resolve issues related to submission procedures of damage-handling and submission procedure of new item so that users can be more efficient in the utilization of time effort and cost in performing the procedures. This information system is created using PHP programming language. The sequence of process performed is starting from entering data to be submitted the approval of stakeholders and printing data that have been approved. The result of Black Box testing on the system using Equivalence Partitioning method shows that the system is functioning well and accordance with user requirements.
5,Citizen data record can be shown satistically such as according to family number education religion gender occupation and age group. Tabulation system of demography data used by Karya Penggawa subdistrict is still in manual method such as recording amount of citizen data on Ms. Office Excel. Constraint of using this citizens data record are difficult to get accurate information about citizens data consume too much time to check the report of citizen data in other word tabulation of demography data still not optimal yet. By those constraint then the information system of demography of Karya Penggawa subdistrict is needed. The system is a web based system with the main function is to form tabulation of demography which is able to show statistic of citizens data according to gender education occupation religion and age group on graphics. In addition the system able to make quarterly report of demography by choosing one of report format Print PDF Excel to minimize human error and make the work of staff of Karya Penggawa subdistrict easier in processing of demography.
6,The System Search Engine Repository Software Desktop was created with the aim for facilitating the users to get the software to be installed or used by the user. For Windows operating systems and Macintosh the system can download and check the latest version of the software that is already available. The system created provides a freeware software for Windows and Macintosh operating systems. For Linux the system displays and generates sources.list of Debian. In this research the system made using Extreme Programming and using web extraction techniques to extract data from website www.filehippo.com.
7,Every educational institution of Vocational High School periodically carries out the admission of new students. With the existence of Decision Support System is expected to assist schools in selecting new students. There are various methods in constructing a DSS and one of them is the method of AHP. AHP is one of DSS method that can handle the multi criteria selection. By using the result of DSS with AHP method as sample data and find the biggest criteria factor in a selection. The result of this study indicates that AHP method can be implemented in information system of new students admission and it can help to make decisions in the placement of departments based on the ability of students and the selected department.
1,Nowadays the development of information technology is growing rapidly not even be stopped. Such as the communication problems which recently seemed there is no distance anymore everything feels close it is all because of technology. Along with the development of science and technology emerging technology development is a GPS (Global Positioning System). In this study researchers design and build android-based application to find out public transport route in Bandar Lampung called Balam Trans utilizing GIS technology in it. This application allows you to search route of the city transportation (Angkot) and Bus Rapid Transit (BRT) in the city of Bandar Lampung so users no longer have difficulty in finding public transport to get to their destination location especially for migrants in the city of Bandar Lampung. Additionally this application can display information about public transportation and BRT route so as to broaden the users knowledge. This application was developed using Dijkstra's Algorithm for finding the shortest route. The conclusion of this study is the application Balam Trans successfully constructed and useful for every user who has used this Balam Trans applications proved by questionnaire application testing achieves good.
5,Radio Streaming is use technology for sending an audio file simultaneously on multiple computers on a network by using a small data packets and generates output semi-real time. In the process of streaming a music file will sound when the computer starts receiving the music file data. Shoutcast DNAS is a freeware that is used for streaming radio technology. Shoutcast help the user to provide an Internet Radio Private servers using software that has been provided. Winamp is a multimedia player device created by Nullsoft. The trial results of this study are the Application Streaming Radio can help the user to display the program content of radio play and lay Radio Streaming and display e-mail addresses website streaming and also Encoder used affects the occurrence of delay the connection is unstable causing disconnection in automatic processor speed and also the speed of the internet connection affects the buffering of streaming player or players. 
6,Smartphone is a primary need for everyone in the modern era. Various features and advantages are offered by smartphone to those who use it. Smartphone is also widely used to help people to support their activities and to accomplish their work. Within the development of technology GIS (Geographic Information System) has come along to provide service of locating a position of something in particular or a place to go. It is also used to locate its user with the help of satellite signal.  GPS can provide precise and accurate information on the position speed direction and time. In this study the researcher designs and builds an Android- based search application called ATM Maps utilizing GPS technology. This application allows you to search the location of ATMs in the city of Bandar Lampung by the way by the  ATM and by the city of Bandar Lampung.  In turn users can avoid difficulty in finding the location of an ATM. This will be a great help particularly to those who do not reside in the city of Bandar Lampung. Furthermore the application also displays the transfer code of each bank so as to assist users in making easier cash transfer. The application is developed utilizing parsing technique of XML Pull Parser. It compares the data stored in folder of Assets Project and that in the server. The conclusion of this study reveals that the ATM Maps is successfully constructed and proven to be useful for its users. It is indicated by excellent rating and comments of satisfaction on the Play Store. In this application the data is stored in Project Assets folder in purpose of reaching easy and quick access. In the other hand data updating for the applications can also be processed easily.
5,Most of the system or results of application the final project and computer thesis of science students that is creating applications that can help the performance of the Department. However applications made have not been utilized properly only presented and stored in the library only. Besides container or a place to attach the application provided are difficult for users because there are settings for connecting to the ftp server. This study built an Application Management System (AMS) as one of the solutions that can be implemented to overcome these problems. AMS is a software used to organize the content. AMS facilitates the application that will be displayed as content on the main website. Implementation AMS of the content on the website using PHP programming language and MySQL database. The test results using Equivalence Partitioning (EP) shows that the AMS has been built to facilitate the user in posting applications. Applications that are embedded into websites using AMS can be run properly.
5,The excess of plugin is more practical because it does not need to create a web from the base and web with attached plugin becomes better. Furthermore small in storage capacity. Plugin of seminar which has built has advantages from the system that already exist conventional system is still using whiteboards and paper plugin is successfully implemented into the web of Computer Science Department and dissemination of information about seminar schedule become more optimal as well this plugin has facility of reminder for lectures and college student that related to the seminar
5,Information on goegrapichal condition needed by stakeholders such as distance information location required information and other information. Geographic information system (GIS) which known sistem informasi geografis (SIG) is one of solution to aquire that geographic information. Tourism in Kabupaten Pesisir Barat is the object which become material of this research thesis. The reason is Kabupaten Pesisir Barat has good potency in tourism which present tourism destinations not only for domestic tourist but also international tourist. The tourism destination divided into marine tourism (wisata marina) water tourism (wisata tirta) historical tourism (wisata sejarah) and natural conservation tourism (wisata suaka alam). SIG web basis is made by using PHP programing and getting data on google maps using waterfall method and supporting software such us GPS coordinates and Xampp server.
1,Information can be kept secure by an encryption process in cryptography technique. In this research we discussed comparative analysis of symmetric algorithms: Tiny Encryption Algorithm (TEA) and LOKI in terms of their complexity time and speed performances. The testing was conducted using 30 data with size varies between 50 bytes and 1500 bytes. Thirty data were tested 50 times. The result shows that TEA is faster in encryption and decryption compared to LOKI  and the complexity of both algorithms are linear algorithms (O (n)).
5,The development of educational game is motivated by low interest and desire of people to learn Aksara Lampung therefore in this case is required a learning system which is attractive and pleasant so it can attract people to keep follow the development of existing technologies one of which is a learning system by using media of educational game. This research used eXtreme Programming (EX) method and was designed by using Unified Modeling Language (UML). This application tested by using Black Box Testing method with the approach of Equivalence Partitioning (EP) and the calculation of Likert Scale. On the other side based on the results obtained from the questionnaire this application is user friendly application (with an average value of 77% / Excellent).
1,Meet the patient's expectation is one of the requirements in health care quality. In order to achieve the healthcare quality hospitals need to change the paradigm from drug oriented to patient orientation. The main problem in health care quality today is patients waiting a long time for service and it will increase the morbidity risk and socioeconomic cost. A solution to resolve long service time is to implement a queuing system that can predict the actual queue situation. This study aim is estimating the  waiting time of patients using Network Queue Jackson Method. We build a queuing model with 8 single servers and consists of 4 health care facilities a registration 5 consultation points for the patient a pharmaceutical and a cashier. In this method uses rules First Come First Serve where consumers can move from one workstation to another workstation before leaving the system. Through the Network Queue Jackson each server or node can provide independent services that it possible to analyze each node separately
7,Fish disease is undesirable for fish farmers because it can cause low productivity and high mortality aquaculture. Lack of information on disease prevention methods small number of experts causing many farmers suffered losses. Therefore an expert system is needed to help diagnose the disease in fish. This system aims to help cultivators on resolve fish disease problem. In this research expert system based on android was built using Java program language as database Forward chaining was used. This method used to determine which roles will be executed then that rule is executed the process was repeated until we got the result. This system can diagnose 35 diseases from 8 species of fish. The data testing result used Equivalence Partitioning showed that management rules system can run based on its function and system can diagnose the disease well. On the other based on questionnaire data this application is an user friendly application (with average value of / excellent).
11,Libraries are part of the learning resources that should be owned by every school or college. Because learners easily find the information or knowledge through library. With the development of technology make people think to be able to work more effectively and efficiently. One of them is to make the conventional system to a computerized system. The website by utilizing the facilities connected to the internet. libraries can be more effective and efficient in searching and ordering books. In this research I have designed a web-based information systems using programming languages PHP MySQL. With this system is expected to address the various needs of the user to search for books and book as well as facilitate the administration of the school in the circulation of borrowing books and preparing reports. From the research that has been conducted on these results the authors implement in Designing Library Information System Web-Based on SMA Negeri 1 Penengahan.
7,School is an institution that was specifically designed for teaching students under the supervision of teachers. School that basically as a tool to implement education is expected to make more advanced society. This system is aimed as an alternative media to facilitate students and people who want to get information about senior and vocational high schools located in Bandar Lampung. In this study mapping the achievement of senior / vocational high school in Bandar Lampung was built based on android and by using Java programming language. Method used in this application is Waterfall and designed by using Unified Modeling Language (UML). This application includes 127 schools in Bandar Lampung consisting of 64 senior high schools (SMA) and 63 vocational high schools (SMK). This application has a variety of data such as school achievements the value of National Examination school address school pictures coordinates point of school and telephone number that can assist users to find information and location of High School and Vocational School in Bandar Lampung. Result of the test that performed by using Equivalence Partitioning method indicates that management rules of system can run properly as its function and this system can provide information properly. Additionally based on testing data this application is included into the category of user friendly application with the average value of percentage of 84.11% (Very Good).
11,Nowadays the internet is growing rapidly including in Indonesia. Internet has become an essential requirement for everyone to get information or other purposes. The benefits of internet make  many people use the internet as appliances for supporting their activities. The use of internet has an impact on the increasing demand to the internet services provider. Internet provider is a company which engaged in providing internet services. In the process of instalation and troubleshooting for internet network the provider requires a management information system which is used to organize the division of task for handling the installation and troubleshooting of internet network. The internet provider who has not had a management system yet will get difficulties to devide the tasks of their employees for handling the process of installation and troubleshooting of the internet network. This research created a management information system for installation and troubleshooting of internet network service which is recieve the information of internet interference from the customers and help in handling process division of tasks for installing and troubleshooting of internet network. This management information system was created using PHP (Hypertext Prepocessor) and some plugins such as twitter bootstrap and high chart. The result of Black Box testing showed that this management information system for installation and troubleshooting of internet network service has been successfully created as the users need.
5,Geographic Information Systems (GIS) is an information system which is used to input process and generate geographically or geospatial referenced data to support the decision making in a planning. This technology can be used on an Android-based smartphone. Internet accelerometer digital maps and GPS (Global Positioning System) on Android can be integrated so that GIS can be implemented. In this study GIS technology is implemented to detect and find the location of health care providers in city of Bandar Lampung. This application is designed and implemented by using Java programming language and Google Maps API to show the location of health care providers. Testing phase by using Equivalence Partitioning method indicates that the function of the application has been running in accordance with the analysis.
5,Comic is a general term used to denote the phenomenon of images that is put together in sequence and placed side by side.  It is usually available in the form of physical book but in order to follow the development of digital technology digital comic was born.  Comic Reader is an application that is created to digitally distribute and read comics.  This application uses Yii as the framework.  Yii is a PHP based framework that uses the MVC architectural pattern.
5,Technology developments have a positive impact in delivery of news or information to the public to be more easily and quickly without any distance limitation in access news. This is supported by the development of internet access which increase rapidly so that everyone in the world can access or share information in real time (without any lag time). News Portal Of Daily Lampung Newspaper Based On Android is an application that provides convenience to the public in obtaining information or news. News Portal Based On Android provide news which taken from website lampungnewspaper.citm.co.id. Things become a study in this thesis is connecting between Android platform with website database platform using library Volley. News Portal is made using Android Studio and retrieve data from database website lampungnewspaper.citm.co.id with Waterfall method.
5,Bird is one of animals that can be found di various habitats its existence spread from the forest the plantation until the urban. Bird is also one group of animals that close to human life. The aim of this system is to be an alternative media to facilitate people who want to get information about the types of birds in Lampung University. In this research android- based field guide to the types of birds of  Lampung University area is using java programming language. The method which is used in this application is Waterfall and Unified Modeling Language (UML) design. This application contains 61 types of birds that can be found in Lampung University. The data of this application are pictures of birds name of birds Latin name English name family name description and status that can help the user to recognize the types of birds which they find in Lampung University. The data result used Equivalence Partitioningtesting showed that the rules of the system can work suitable with the function and the system can give information well. This application is a category of variable user friendly with average (very well) and a category of interactive variable with average (very well).
7,Rice plant diseases can be identified from their symptoms. To find out exactly the rice plant disease it will need agricultural experts. Numbers and distributions of agricultural expert are very limited and they cannot overcome the problems optimally so that a system containing knowledge as what experts do is required. This research was to design web-based experts system by using forward chaining method and certainty factor. Data processed in this system were 16 diseases and 26 of disease symptoms. This system which was developed had superiorities and easiness in accessing it user friendly and displaying certainty levels from diagnosis results with 81% of customer's satisfaction.
7,Distance students can be seen from the data stored student's address. Address high school students in the Pringsewu District have different distances. This research was conducted to determine the classification of the distance stored in high school students in the Pringsewu District. Distance students are classified to obtain five categories: 'sangat dekat' 'dekat' 'sedang' 'cukup jauh' and 'jauh' by using eight attributes are 'nomor' 'SMA' 'kabupaten' 'kecamatan' 'kelurahan' 'jarak' 'asal SMP' and 'class'. The classification performed by using Naive Bayes using Weka tool. Distribution of training data and testing data is different as much as 20 times of testing resulting in the highest accuracy Naive Bayes is 89.329% on distribution of 60% training data : 40% testing data. The data of students address and information classification results displayed in the form of digital map that is mapping of student's address in high school in the Pringsewu District.
6,Data Bank System is a place that is used to store data. In Computer Science Department Data Bank System that is used to store data of students score at Computer Science Department. The System of Students Data Bank Score at Computer Science Department is still in manual form. Therefore the system of Students Data Bank score at Computer Science Department that is still in the manual system is developed to be digital system. In searching the system of students data bank Score at Computer Science Department in digital form by applying Brute Force algorithm. Brute Force algorithm is a string searching algoritm which is used each character checking method in pattern with every character in the text. Data searching in the System of Students Data Bank Score at Computer Science Department the testing was done with some case  tests that focused on functional system. Data searching in the System of Students Data Bank Score at Computer Science Department was using Brute Force Method by ten people that was randomly chosen. The questionnaire result of system testing was using Likert scale with the result of final score was or it could be stated that the System of Students Data Bank Score at Computer Science Department by using Brute Force method was Very Good.
7,Local Government Finance and Regional Asset Lampung Tengah Regency is a government agency that is engaged in the field of financial management and regional assets. Employees are resources that very important to determining the success of a work unit. Efforts to improve the quality of the performance of a public servant namely the position increase. Incumbency is the position that indicates the level of a Civil Servants. Incumbency increase is an award given on work performance and dedication Civil Servants. Decision Support System which can help facilitate determining an employee can be said to be worthy for incumbency increase. In this study the calculation method of decision making used is Simple Additive Weighting (SAW) with 6 criteria echelon working lives of civil servent working lives of echelon working lives of incumbency last education and training. The system is built using the PHP programming language. The test results using Black Box Testing and questionnaires show that the system can be function according to user needs and system is deemed to have the criteria of incumbency increase structural of the Civil Servant in Local Government Finance and Regional Asset Lampung Tengah Regency.
4,This early (nowadays) Internet Service Provider has been growing rapidly. To choose Internet Service Provider is extremely difficult because every Internet Service Provider has its advantages and disadvantages as well. Some methods such as Failover Per Connection Classifier Round Robin and several others are able to combine between an internet connection from several multiple Internet Service Provider. Failover method is being useful for separating between the Internet Service Provider that will be a priority connection and the backup connection. In this application two or more Internet Service Providers cooperate together to keep the Internet connection remain stable. By using the application it is no longer difficult to handle the problem of bad Internet Service Provider.
6,A large amount of data can affect the search process the data in a database. The greater the amount of data then the data search process will take longer. In a process of value management activity data changes the value of an activity that is often overlooked by managers value. This system is used to listing activites done by student grades manager. The recording process will make the amount of data increases and searching time it will take substantial time. The prior research explained that relational operators combined with indexing strategy in sub query has a better performance compared to using the other methods. This research using indexing strategy and nested query for activity listing information system for student grades data changes. The process of system testing conducted several experiments such as comparing data using index and data that did not use the index (table scan) to several conditions namely the data on the amount of and 4221. Nested query testing and regular query or query were tested directly using the same amount of data and applied on subjects data search. Indexing strategy that is applied to the big amount of data will generate faster execution time than a search without indexing strategy in contrary to the small amount of data indexing strategy does not really affect the search process. The use of nested query in the subjects data search will be faster than the search time regular query or query directly
7,Recipes are needed as a means to guide people when preparing ingredients for cooking making and serving food. These days there are more and more smartphone users and Android is the most dominant operating system. Android based smartphone is very easy to use so many people choose  it. Case   Based Reasoning (CBR) is  a  problem solving approach by emphasizing the role of prior experience. New problems can be solved by utilizing toward similar problems that have been solved before. In this study we design and build a Recipe Recommendations Apps for Android  and applying Case-Based Reasoning method. This application provide recommendations of any recipes of Indonesian Foods that can be made by inputting available ingredients and step by step of cooking and the way they are presented. This evaluation show that the application successfully constructed and useful for user.
1,This research is designing The Implementation of Market Basket Analysis (MBA) Method on E-Commerce Application as one way to expand and help the selling on Ananda shop.  In this Implementation Market Basket Analysis Method (MBA) was used to determine which product will be bought by customers in one time through analysis of customers transaction list. This E-Commerce Application gives suggestion on related product match to product that has been chosen by a customer so customer can easily see the product and bought it. This system was built using PHP and MySQL language. The result of functional data testing based on test case showed that this system can work properly to its purpose
6,The utilization of GPS (Global Positioning System) technology on telecommunication tools stimulates Location Based Service (LBS) in smartphone.  This service provides an information that can be accessed through mobile network and is able to use geographic location. In this research application is designed and created for giving the information about Friday prayer schedule in Bandar Lampung including the information about mosques preacher in charge in certain mosque and shows the nearest mosque location within a radius of 1 km. The application consists of Android Mobile application for users and Web Based System for Administrator and both are connected with Web Service. This study shows that the new created application can give the information about Friday prayer in Bandar Lampung and the test result by using Black-Box equivalence partitioning shows that the application runs in accordance with the requirements.
6,Hadiths narrated by Bukhari hadith are no question of their validity in the level of Indonesian society. Because people are Muslims desperately need information fast hadith related by Bukhari. In the life of more advanced more and more people find information that was not relevant in the spread of hadith Bukhari. To know the hadith infromasi in accordance with the original or not the communities need to open the book so thick and takes a long time. In order to accelerate and facilitate the public in Bukhari hadith access to the daily life of the days of the search information systems developed in the hadith narrated by Bukhari. In this study designed a web-based information system called Information Systems Development Search Hadith Bukhari designed using programming languages PHP MySQL. With this information system it is expected to answer the problems that occur in the community to access the hadith is easy with a relatively short time.
5,Zakat infak and sedekah management was regulated in the Law of the Republic of Indonesia Number 23 of 2011 includes planning collection distribution and utilization. They should also be managed institutionally with accordance of Islamic Shari'a trusting benefiting justice rule of law integrated and accountability. One objective of the Lembaga Amil Zakat (LAZ) is to colect and manage deposited of zakat infak and sedekah (ZIS) from muzakki to be distributed and utilized to mustahik accordance with Islamic Shari'a. Using and developing of System Information for ZIS is necessary so zakat management on LAZ can be managed by an accountable and transparent. With ZIS System Information it can be easier for officers in zakat data processing provide the public in general and muzakki in particular to look directly existing information and speed up the process of presenting information regarding the collecting and utilization of ZIS.
7,Cocoa (Theobroma cacao L) is one of the plantation commodities that get serious attention because its role is quite high in the national economy. Lampung Province is one of the central cocoa plantations in Indonesia. Cacao cultivation is widely inseparable from a variety of obstacles such as pests and plant diseases. Identification of pests and diseases with various symptoms found in cocoa plants and knowing how to control it is difficult for us especially farmers in the areas to solve the problem quickly and accurately. Limitations of an expert make handling of pests and diseases of cocoa plants to be difficult therefore required an expert system that is able to identify pests and diseases in cocoa plants and how to control it based on the knowledge provided by an expert who is able to identify pests and diseases of cocoa and how to control it . This research applied the calculation method of Theorem bayes to calculate the percentage of value. The calculation result is a percentage value and the user can directly see the way pest and disease control are identified. Testing of this research using method Black Box Equivalence Partitioning (EP). Testing questionnaires are divided into 2 variables: user friendly variable and interactive variable. Tests of user friendly variables obtained an average rating of 87.6% and interactive test variables obtained an average rating of 87.52%. With the test results the system shows this app is feasible to use.
5,Students are still often not on time in attending lectures students also often forget to do the task and prepare for the exam. This has an impact on the achievement value obtained is not maximal. In this research researchers built a mobile application on Android-based smartphone operating system as a reminder for students Computer Science Faculty of Mathematics and Natural Sciences University of Lampung. This application is made up of two parts Web-based for admin and Android-based for users connected using Web Service. This application is made to support and maximize lecture activities. The workings of this application is as an alarm reminder to remind students of lecture tasks and exam schedules. The test result by using Black-Box equivalence partitioning shows that the application runs in accordance with the requirements.
1,Cryptography can be used to process message using a specific algorithm that make the message difficult to be understood. After that steganography is used to hide the message in other forms. This research used modified Hill Cipher and Least Significant Bit (LSB) to build a web based application for sending message and get the original message using an android application. The title and cipher key will be sent automatically by the application to the recipient's email. This application can be used by organizations or companies and use stego cover with file type .jpg and message with file type .txt. The modified Hill Cipher and LSB method can be used to encrypt message embed it to a image and reveal it to the original message. Our research show that the LSB method has the best possibility to reveal message on image manipulated by changing brightness and contrast if the cover in grayscale and dominant red and white colours image quality
7,Activity of Community Service Program / Kuliah Kerja Nyata (KKN) at Lampung University is an intracurricular activity that combines the implementation of Tri Dharma Perguruan Tinggi with a method of providing learn and work experience to students in community development activities. Grouping students KKN performed with greedy algorithm. To find out the accuracy of grouping students of KKN the necessary analysis is based on the criteria of gender faculty and school. Analysis of the grouping will be used as a reference in view of accuracy randomization KKN group that has been done. Analysis grouping students of KKN carried out in three categories: regular FKIP and combined regular WITH FKIP.
1,The security is the most important thing in sending a secret message and there are many ways to send a message safely one of those is steganography. In this research we wil compare Dynamic Cell Spreading (DCS) and Spread Spectrum method based on web application using image as the media and hide the secret message. The file format used are (.jpg) as input cover (.png) as output stegoimage and (.txt) as data that can be inserted. Doing some test to manipulated brightness contrast and cropping the results show that Spread Spectrum method better than Dynamic Cell Spreading (DCS) method. The Spread Spectrum method mostly returns the message in the brightness and contrast manipulation. Cropping stegoimage on the right area or bottom image has less risk of losing data depend on the cropping scale and image resolution.
11,This research was conducted to create a service learning activity reporting system which is able to assist BP-KKN DPL and students in managing reports KKN.  The data of this research consists of the data DPL the student and the location of the KKN.  Data for KKN Unila Period I 2017 i.e. 55 DPL or lecturer from various faculties 2708 students and 387 location.  DPL data is used to test whether the system reports an activity that students upload was received directly by the DPL respectively.  Student data is used to test the system as students who are already registered as a participant of KKN that already get a token to login on this application.  While the village is used to find out the placement of the students and DPL as well as those of the village.  The results showed that: (1) functional testing using Black Box methods of Equivalence Partitioning (EP) getting results as expected on a test scenario in each test class.  (2) Ownership of smartphones and questionnaire testing provider with 135 people respondents consisting of students of KKN period I 2017 shows ownership of Android-based smartphones to occupy the highest number i.e. 107 or 79.26% while ownership provider Telkomsel occupies the highest number i.e. 100 or 74.07%. (3) the testing of the questionnaire android application with 40 respondents consisting of students of KKN period I 2017 shows from the results of 5 statement on keusioner obtained an average value of 85.7% (categorized very good).  (4) the testing of the questionnaire web systems with 16 respondents consisting of DPL and KDPL KKN period I 2017 shows from the results of the 4 statements on the questionnaire obtained average value of (categorized very good).
11,Faculty of Mathematics and Natural Science of the University of Lampung is an institution that manages its personnel. In the process employee data processing is still done manually. This makes it hard to find common data in the personnel file. The personnel file is also left separately. In this study the authors build a web-based information system development that can help the process of data processing quickly. The method of development in making the system using Waterfall. The results of this study has built WebBased Human Resources Information System that can be used for employee data processing activities to quickly and accurately.
11,Information technology is growing rapidly and greatly influences to improving the effieciency and effectiveness of business activities in developing the company. In this case an information technology audit is needed to ensure the existing information technology that has been already satisfy the common control standards and has the ability to compete in the business world. The purpose of this research is to evaluate the assessment and to make recommendations based on the analysis maturity level of IT in Car Dealer XYZ in Bandar Lampung according to the framework COBIT 4.1. Standard of COBIT 4.1 has parameters that can aid the assessment of an enterprise using a maturity model. This research finds that the result of maturity level of Car Dealer XYZ in Bandar Lampung is 4.02. This shows that Information Technology has been updated well where the procedures and policies have been done effectively monitored and there are corrective actions are taken.
1,Ordering is a process of sorting data with a certain rule so it will be arranged regularly in accordance with the rules. Basically there are two kinds of commonly used sequencing rules: ascending and descending. In sorting data that consists of many criteria there will be priority criteria on which the data is sorted. Priority criteria are sorted by initial criteria which are the most preferred criteria until the last criterion which is an additional criterion. In this study researchers developed an algorithm that can help sort data that has many priorities. The algorithm used is Bubble Sort and Selection Sort developed using multidimensional ArrayList to sort multi-priority data. The test was conducted on five times experiment and the data sorted by descending. The data used consist of four fictitious data and one real data taken from the list of all criteria of PPA 2017 scholarship recipient of MIPA faculty University of Lampung. From the results of the tests performed the best solution is found in the Selection Sort algorithm if compared with the Bubble Sort algorithm for multi priotity data sorting.
5,In the present era to support business processes in a university requires the support of ICT in improving the quality of education and services. Analysis of the existing condition of ICT implementation in Unila using Zachman framework shows that the change in the need of application becomes the most dominant thing to be immediately corrected in various fields of work in dispersed work units. Application requirements analysis is obtained by interviewing obervating and giving questionnaires to internal and external customers and conducting document study of strategic plan of Unila. The result of this research is planning of Unila application architecture in accordance with organizational purpose which can give input for management to prepare integrated application in the future.
5,Course and tutoring is a non-formal institution that serves students' education outside of school hours. Currently courses and tutoring have become a necessity for students to college students ranging from kindergarten (kindergarten) elementary school (SD) junior high school (SMP) high school (SMA) to college. In Bandar Lampung City there are many courses and tutoring scattered in every district in Bandar Lampung City. But with many courses and tutoring people still difficult to find information about the place of the course and tutoring. For that need to be built application distribution of course and tutoring in Bandar Lampung based on Android. This application is built using Waterfall method. In this application  user can see the map of distribution of  course and tutoring area of Bandar Lampung see information about each place of course and tutoring that is covering address information contact and cost user also can search for the nearest course and tutoring. This  application was tested using black-box method. The results of research data using a questionnaire can be concluded that the application gets a percentage value of 88.4% belonging to the category very well according to the respondents were selected randomly.
11,Al-Kautsar High School under the Al-Kautsar Foundation implements a system of government-determined education by emphasize the education of Islam and Arabic. Students get a value-added report card at the end of each semester. Scoring is done by the teacher who is responsible for each subject and class being taught. The score of the student is submitted to the homeroom teacher to be arranged in such a way according to the report card format. Then the homeroom teacher handed the value to the admin to be printed into a report card. With a system like this if a mistake occurs on a file that the admin has received he cannot immediately handle the mistake and should contact the homeroom teacher or even the responsible teacher to correct the mistake before being handed again back to homeroom teacher and admin. Based on the background and identification of the problems that have been presented this research creates a system that can handle the problem. The system is web-based so that the score data filled by the teacher can be directly viewed accepted and supervised by the admin and teachers. Any score change can be done at any time before the end of the semester. The test results that email report card system to the parents of the students did not succeed but the main features of the system such as the filling of grades by teachers and homeroom teacher and printing report cards into .pdf format works well.
11,This research was conducted to create an inventory system of UPT which is able to help the UPT LT-SIT facilitate data collection and checking of goods in the laboratory. This research data consists of user menu data chemicals laboratory tools analytical services quality documents customer data and visitor data. User data is used to test which system can login on the system. The results showed that: (1) functional testing using the Black Box Equivalence Partitioning (EP) method obtained the results as expected in the test scenario in each test class. (2) The result of system testing using this method can be concluded that overall this system is running well and succeed as a whole. (3) In this test is intended to determine whether the functional system has been running according to function or not. This system is used to help the user's performance on LT-SIT UPT that process data especially the availability of goods. (4) With the application of inventory information system of goods procurement that has been developed every responsible user can know what assets owned by UPT LT-SIT University of Lampung so that will emerge sense of responsibility to care for data and goods.
5,Lampung Province has some tourist attraction that has not been widely known by the public because of the limited information received. Less spread of internet network in Lampung Province causing tourist difficulty in accessing an information. Therefore researchers are developing MyLampungGuide app for travel guides based on Android. This research was conducted with the aim to facilitate tourists in finding location and information of tourist attraction in Lampung Province. In addition this application can be used to see the nearest terminal and station and see the list of hotels in Lampung Province. MyLampungGuide application is developed using the V-Model method while the use of this in-app map uses the Osmdroid library and the software used in this application is Java as the programming language SQLite Manager as database server as well as Adobe Photoshop CS6 as interface creation and image attributes. This app can be used without connecting to the internet network. The results of this research is an MyLampungGuide app that cn be used to access information and location tours in Lampung province without connecting to the internet network. Suggestions from this research that improvement route of map view so that can be displayed in polyline.
11,Office equipment or often referred as Alat Tulis Kantor (ATK) and Barang Habis Pakai (BHP) are  requirements that must be provided and considered its use on an agency as in the Department of Computer Science. Currently the Department of Computer Science is using Microsoft Excel and handwriting in processing data of ATK / BHP starting from recording of incoming ATK / BHP up to its distribution. That is why Computer Science Department requires a system that can support the process of data processing and distribution of ATK / BHP. The developed system is expected to help reporting of ATK / BHP distribusion. System development method that chosen in this research is Waterfall model. The system design in this research is using Unified Modeling Language (UML). The process of making program (coding) is using PHP programming language with HTML and MySQL for database. The test case approach in this research uses Black Box testing with Equivalence Partitioning (EP) method. The result of the test that has been done shows that all of the functions that the system have has been running in accordance with its function.
5,The research conducted  to make information system of medical specialist based on Android in Bandar Lampung is using location based service technology. Data used in this research are data of medical specialist that are information of name list of medical specialist in Bandar Lampung medical specialist location of practice schedule of practice location contact of practice latitude and longitude of practice location. Funcional testing using equivalence partitioning method creates an application that it can show page of splash screen page of main menu page of location menu page of specialist menu page of medical list menu map page of about page of help and it can give information of medical specialist list medical specialist location of practice and schedule of practice in Bandar Lampung. This application is successfully run in android jelly bean kitkat lollipop and marshmallow version. Non-funcional testing using likert scale is given to respondens of society that obtain score of average total  for user friendly variable and for score of interactive variable so both of them include in 'good' category. Therefore respondens of medical student having for user friendly variable successfully get'the best' category and for interactive variable get 'good' category.
